,times,sentiment_score,magnitude_score
0,2019-01-01,-0.062499997206032276,0.5250000134110451
1,2019-01-02,-0.03076923008148487,0.31538461721860445
2,2019-01-03,0.05833333730697634,0.4083333356926839
3,2019-01-04,0.06666666766007741,0.42000000675519306
4,2019-01-05,0.11428571811744145,0.31428571471146177
5,2019-01-06,0.020000000298023225,0.14000000208616256
6,2019-01-07,0.19333333472410838,0.47333333889643353
7,2019-01-08,0.11764706101487665,0.37647059033898744
8,2019-01-09,-0.05833333358168602,0.24166666778425375
9,2019-01-10,-0.22941176242688122,0.39411764548105355
10,2019-01-11,0.011999998390674591,0.3560000056028366
11,2019-01-12,0.09999999936137881,0.30000000234161106
12,2019-01-13,0.16666666749450895,0.30000000364250606
13,2019-01-14,0.08000000089406967,0.4160000047087669
14,2019-01-15,0.08846153892003573,0.3653846222620744
15,2019-01-16,-0.15000000554654333,0.43888889749844867
16,2019-01-17,-0.05666666403412819,0.4466666683554649
17,2019-01-18,-0.06666666807399856,0.1944444469279713
18,2019-01-19,0.10000000042574746,0.3285714260169438
19,2019-01-20,0.1285714299551078,0.4714285725993769
20,2019-01-21,-0.12666666706403096,0.3866666709383329
21,2019-01-22,-0.031578946662576574,0.4368421113804767
22,2019-01-23,-1.753077787511489e-09,0.3529411777853966
23,2019-01-24,-0.10909090699120001,0.27272727543657477
24,2019-01-25,0.06666666517655055,0.25833333438883227
25,2019-01-26,0.07500000298023224,0.07500000298023224
26,2019-01-27,0.15000000161429247,0.2083333327124516
27,2019-01-28,-0.0857142869915281,0.2071428612938949
28,2019-01-29,0.1454545482993126,0.41818182271989907
29,2019-01-30,-0.0791666687776645,0.3250000039115548
30,2019-01-31,-0.16785714349576406,0.4250000004789659
31,2019-02-01,-0.04666666761040687,0.33000000615914665
32,2019-02-02,-0.13076923329096574,0.5000000040118511
33,2019-02-03,-0.05714285692998341,0.49999999893563135
34,2019-02-04,-0.06000000337759654,0.6133333330353101
35,2019-02-05,0.10454545745795424,0.3409090895544399
36,2019-02-06,0.09473684390908793,0.23684210996878774
37,2019-02-07,-0.029166667101283874,0.2583333359410365
38,2019-02-08,-0.0826086968831394,0.32173913231362467
39,2019-02-09,4.4703483803587575e-09,0.5600000023841858
40,2019-02-10,0.011111112104521845,0.622222229010529
41,2019-02-11,-0.062499999999999986,0.46250000409781933
42,2019-02-12,-0.0037037026551034716,0.34074074443843627
43,2019-02-13,0.05217391349699186,0.3608695692990137
44,2019-02-14,-0.0437500006519258,0.3687500008381903
45,2019-02-15,0.0500000004789659,0.33214285863297327
46,2019-02-16,0.1437500030733645,0.4562500063329935
47,2019-02-17,0.15714285895228386,0.25000000478965895
48,2019-02-18,-0.10000000074505806,0.4400000095367432
49,2019-02-19,0.08461538186440101,0.39999999965612704
50,2019-02-20,0.018181817436760117,0.4000000008805232
51,2019-02-21,-0.09999999776482582,0.39000000059604645
52,2019-02-22,-0.10606060673793156,0.3575757615494006
53,2019-02-23,0.01000000387430191,0.530000002682209
54,2019-02-24,0.19090908833525397,0.427272729575634
55,2019-02-25,-0.05263158130018337,0.5578947455475205
56,2019-02-26,-0.14705882309114232,0.34705882256521897
57,2019-02-27,0.031034481679571086,0.28965517467465896
58,2019-02-28,-0.0409090905026956,0.4181818254292011
59,2019-03-01,-0.07499999792448112,0.3857142888009548
